WardName,WardCode,Wardcode,PctSharedOwnership2011,PctRentFree2011,Candidate,InnerOuter,x,y,AvgGCSE2011,UnauthAbsenceSchools11
Ealing - East Acton,00AJGH,E05000175,6.411889597,1.486199575,Ken,Outer,520777.8163,181730.7998,340.5589928,1.160250136
Ealing - Elthorne,00AJGJ,E05000176,2.448709464,1.406353408,Ken,Outer,515730.0079,179774.8762,348.9142857,0.838520408
Ealing - Greenford Broadway,00AJGK,E05000177,3.358561968,1.277199622,Ken,Outer,513625.9446,182755.0707,328.275,0.885774059
Ealing - Greenford Green,00AJGL,E05000178,0.820985182,1.321585903,Ken,Outer,514618.7391,183895.1487,347.35,0.567540435
Ealing - Hanger Hill,00AJGM,E05000179,1.500815661,1.517128874,Boris,Outer,518514.7937,182191.5258,354.192029,0.773333333
Ealing - Hobbayne,00AJGN,E05000180,0.624172499,1.172687725,Ken,Outer,515221.9698,181355.9699,356.4845304,0.72552343
Ealing - Lady Margaret,00AJGP,E05000181,0.529767911,1.513622603,Ken,Outer,513139.1326,181717.1621,330.4125654,0.782076885
Ealing - Northfield,00AJGQ,E05000182,0.380517504,1.008371385,Boris,Outer,517044.0933,179072.1352,381.1430894,0.334803528
Ealing - North Greenford,00AJGR,E05000183,1.398026316,0.884046053,Ken,Outer,515685.305,184825.5536,344.2835714,0.813019391
Ealing - Northolt Mandeville,00AJGS,E05000184,1.795009873,1.400107701,Ken,Outer,513004.5849,184544.5723,340.5174359,0.880479926
Ealing - Northolt West End,00AJGT,E05000185,1.796513696,1.56527926,Ken,Outer,511474.903,183374.7599,332.3254808,0.96678276
Ealing - Norwood Green,00AJGU,E05000186,3.403643337,1.605944391,Ken,Outer,513863.7873,179405.0576,341.1745856,1.099120538
Ealing - Perivale,00AJGW,E05000187,0.921745673,1.354401806,Ken,Outer,516379.5964,183193.1886,352.6632653,0.769569892
Ealing - South Acton,00AJGX,E05000188,2.129429379,2.096157045,Boris,Outer,519647.0805,180041.082,342.8172249,0.87604712
Ealing - Southall Broadway,00AJGY,E05000189,1.798063624,2.323651452,Ken,Outer,512288.168,180169.596,331.8565789,0.677926766
Ealing - Southall Green,00AJGZ,E05000190,1.494365507,2.082312592,Ken,Outer,511852.5339,179129.8489,338.7047872,1.0143324
Ealing - Southfield,00AJHA,E05000191,0.589324802,1.24600101,Boris,Outer,520762.7692,179336.0165,339.9173913,0.99745509
Ealing - Walpole,00AJHB,E05000192,1.038819027,1.549116093,Boris,Outer,516997.4909,180007.3084,381.5714286,0.464943609
Enfield - Bowes,00AKGL,E05000193,0.762665698,1.25295079,Ken,Outer,531003.049,191970.7605,344.9013158,1.216527037
Enfield - Bush Hill Park,00AKGM,E05000194,0.274524158,0.878477306,Boris,Outer,533077.3827,194682.2601,365.022561,0.950931677
Enfield - Chase,00AKGN,E05000195,1.063829787,1.418439716,Boris,Outer,531307.905,199314.0569,335.2584337,1.335229759
Enfield - Cockfosters,00AKGP,E05000196,0.306807287,1.476510067,Boris,Outer,528062.9034,197406.9502,354.9392857,0.856809339
Enfield - Edmonton Green,00AKGQ,E05000197,2.319176692,1.898825917,Ken,Outer,534845.0129,192889.24,334.5882845,1.999600666
Enfield - Enfield Highway,00AKGR,E05000198,0.90490012,1.38296056,Ken,Outer,536356.7022,197286.8827,326.0902954,1.687625418
Enfield - Enfield Lock,00AKGS,E05000199,1.770750988,1.549407115,Ken,Outer,536776.5169,198996.7764,333.2733333,1.93300618
Enfield - Grange,00AKGT,E05000200,0.209364294,1.19908641,Boris,Outer,532155.2671,195657.3311,365.0427481,0.669816054
Enfield - Haselbury,00AKGU,E05000201,0.481678995,1.892310339,Ken,Outer,533388.2458,193453.1411,331.9722467,2.150196696
Enfield - Highlands,00AKGW,E05000202,0.380365876,1.014309002,Boris,Outer,530866.5302,197100.2672,358.3313559,0.697686567
Enfield - Jubilee,00AKGX,E05000203,0.430550356,1.516286035,Ken,Outer,535689.2975,194687.4273,332.2727273,1.592199546
Enfield - Lower Edmonton,00AKGY,E05000204,1.971738416,1.544528426,Ken,Outer,535430.467,193743.7357,321.4936585,1.734082535
Enfield - Palmers Green,00AKGZ,E05000205,0.604386116,2.037644621,Ken,Outer,531671.7275,192853.8007,349.5816456,1.076532399
Enfield - Ponders End,00AKHA,E05000206,1.919014085,1.602112676,Ken,Outer,536178.0802,195797.6653,337.5648241,1.581589958
Enfield - Southbury,00AKHB,E05000207,0.470929179,1.086759645,Ken,Outer,534235.122,196689.8609,334.8302703,1.474308118
Enfield - Southgate,00AKHC,E05000208,1.489253681,1.167710272,Boris,Outer,529995.3198,194715.7687,369.2124088,0.652040176
Enfield - Southgate Green,00AKHD,E05000209,0.174621653,1.105937136,Boris,Outer,529800.8243,192772.9467,346.9460938,0.988789546
Enfield - Town,00AKHE,E05000210,0.794833582,1.17569134,Boris,Outer,533025.786,197340.3199,347.324183,0.655174353
Enfield - Turkey Street,00AKHF,E05000211,1.257507508,1.238738739,Ken,Outer,535227.7888,199039.1923,321.13125,1.862456747
Enfield - Upper Edmonton,00AKHG,E05000212,0.450016072,1.864352298,Ken,Outer,534049.5972,192029.0292,335.477381,1.654080062
Enfield - Winchmore Hill,00AKHH,E05000213,0.299121331,1.252570574,Boris,Outer,531270.6485,194066.5614,380.1277311,0.570420301
Greenwich - Abbey Wood,00ALGP,E05000214,0.55331992,0.955734406,Ken,Outer,546843.2734,178708.1608,313.6545455,1.78836827
Greenwich - Blackheath Westcombe,00ALGQ,E05000215,1.234567901,1.004115226,Boris,Outer,540155.2667,177009.3217,370.2190476,1.607715134
Greenwich - Charlton,00ALGR,E05000216,0.365917407,0.923505837,Ken,Outer,541436.6186,177865.1856,330.5175573,1.7168125
Greenwich - Coldharbour and New Eltham,00ALGS,E05000217,0.347826087,0.869565217,Boris,Outer,543265.2487,172526.0076,346.738125,1.261901682
Greenwich - Eltham North,00ALGT,E05000218,0.233508465,1.22591944,Boris,Outer,543290.1691,175324.1261,366.0317829,0.913783404
Greenwich - Eltham South,00ALGU,E05000219,1.499901322,1.203868167,Boris,Outer,543872.5924,174008.323,351.7663265,1.54
Greenwich - Eltham West,00ALGW,E05000220,1.231656184,1.100628931,Ken,Outer,541592.1149,175297.6876,310.8640523,1.877223975
Greenwich - Glyndon,00ALGX,E05000221,2.239359336,1.305057096,Ken,Outer,544599.2711,178557.3281,319.9277778,1.808064516
Greenwich - Greenwich West,00ALGY,E05000222,2.242595205,1.241184767,Ken,Outer,538424.3743,177252.3411,326.55625,1.753577513
Greenwich - Kidbrooke with Hornfair,00ALGZ,E05000223,0.841779763,1.065109088,Ken,Outer,541727.4744,176647.4223,321.7563636,1.781947743
Greenwich - Middle Park and Sutcliffe,00ALHA,E05000224,0.450937951,0.955988456,Boris,Outer,541020.5584,174456.1533,330.462406,1.971235403
Greenwich - Peninsula,00ALHB,E05000225,1.417297471,1.127395716,Ken,Outer,539753.0984,178872.3605,326.4314286,1.789532872
Greenwich - Plumstead,00ALHC,E05000226,0.833049983,1.139068344,Ken,Outer,545827.0695,178164.3792,328.2,1.703123663
Greenwich - Shooters Hill,00ALHD,E05000227,0.751597144,0.977076287,Ken,Outer,544224.1763,176759.7264,358.2228571,1.276884422
Greenwich - Thamesmead Moorings,00ALHE,E05000228,3.262900676,0.718700589,Ken,Outer,545947.8063,180180.2012,336.5589109,1.58740458
Greenwich - Woolwich Common,00ALHF,E05000229,2.249134948,1.069518717,Ken,Outer,543220.1806,177783.9288,321.5480198,1.72322729
